# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	cA_solver     	cA_initial    	cA_final      	cA_iters      	cA_converged  	cB_solver     	cB_initial    	cB_final      	cB_iters      	cB_converged  	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.0001        	smoothSolver	1.000000e+00	9.064880e-08	3	0.000000e+00	0.000000e+00	0	1.000000e+00	7.815770e-08	3	false	smoothSolver	1.000000e+00	1.387970e-04	1	true	smoothSolver	1.000000e+00	7.187590e-06	1	true	DICPCG	1.000000e+00	4.752070e-02	132	true
0.0002        	smoothSolver	9.126960e-01	1.860390e-07	3	3.338450e-01	1.168250e-07	3	2.566680e-01	8.046550e-06	2	false	smoothSolver	1.932460e-01	2.249160e-05	1	true	smoothSolver	1.948720e-01	1.259290e-06	1	true	DICPCG	7.960490e-03	3.901620e-04	133	true
0.0003        	smoothSolver	8.534650e-01	1.735280e-07	3	2.097720e-01	9.921080e-06	2	1.259460e-01	3.901750e-06	2	false	smoothSolver	1.072370e-01	1.660710e-05	1	true	smoothSolver	1.079750e-01	1.008370e-06	1	true	DICPCG	5.408060e-03	2.580230e-04	133	true
0.0004        	smoothSolver	5.226300e-02	1.393630e-06	2	5.668430e-02	2.447440e-06	2	1.137720e-02	3.278350e-07	2	false	smoothSolver	7.430120e-02	1.384090e-05	1	true	smoothSolver	7.468290e-02	8.883440e-07	1	true	DICPCG	4.535990e-02	2.254280e-03	13	true
0.0005        	smoothSolver	4.374810e-02	1.160110e-06	2	4.731100e-02	2.071530e-06	2	1.004180e-02	2.890000e-07	2	false	smoothSolver	5.692680e-02	1.214050e-05	1	true	smoothSolver	5.708650e-02	8.082320e-07	1	true	DICPCG	3.001410e-02	1.494240e-03	13	true
0.0006        	smoothSolver	3.745940e-02	9.919140e-07	2	4.091830e-02	1.810960e-06	2	9.267070e-03	2.737460e-07	2	false	smoothSolver	4.618650e-02	1.095100e-05	1	true	smoothSolver	4.619840e-02	7.467330e-07	1	true	DICPCG	2.043950e-02	7.642180e-04	100	true
0.0007        	smoothSolver	3.266050e-02	8.629170e-07	2	3.581440e-02	1.597840e-06	2	8.736150e-03	2.661050e-07	2	false	smoothSolver	3.885460e-02	1.004120e-05	1	true	smoothSolver	3.879930e-02	6.962600e-07	1	true	DICPCG	1.539410e-02	6.108110e-04	100	true
0.0008        	smoothSolver	2.894630e-02	7.633200e-07	2	3.205670e-02	1.426740e-06	2	8.376910e-03	2.604460e-07	2	false	smoothSolver	3.356430e-02	9.317150e-06	1	true	smoothSolver	3.344400e-02	6.532470e-07	1	true	DICPCG	1.197090e-02	4.926710e-04	100	true
0.0009        	smoothSolver	2.591710e-02	6.838240e-07	2	2.908090e-02	1.290840e-06	2	8.052960e-03	2.565290e-07	2	false	smoothSolver	2.956720e-02	8.716860e-06	1	true	smoothSolver	2.938880e-02	6.157410e-07	1	true	DICPCG	9.624270e-03	4.257140e-04	100	true
0.001         	smoothSolver	2.341020e-02	6.192680e-07	2	2.656270e-02	1.179850e-06	2	7.805850e-03	2.535290e-07	2	false	smoothSolver	2.642720e-02	8.199930e-06	1	true	smoothSolver	2.621170e-02	5.825450e-07	1	true	DICPCG	7.858060e-03	3.758550e-04	100	true
0.0011        	smoothSolver	2.131190e-02	5.674900e-07	2	2.434290e-02	1.086990e-06	2	7.583110e-03	2.501550e-07	2	false	smoothSolver	2.388530e-02	7.742630e-06	1	true	smoothSolver	2.365560e-02	5.528430e-07	1	true	DICPCG	6.594740e-03	3.097430e-04	101	true
0.0012        	smoothSolver	1.954170e-02	5.241940e-07	2	2.242100e-02	1.008170e-06	2	7.403060e-03	2.469300e-07	2	false	smoothSolver	2.180170e-02	7.338150e-06	1	true	smoothSolver	2.155470e-02	5.260560e-07	1	true	DICPCG	5.941600e-03	2.600800e-04	101	true
0.0013        	smoothSolver	1.803510e-02	4.878320e-07	2	2.087150e-02	9.413060e-07	2	7.241810e-03	2.436340e-07	2	false	smoothSolver	2.006780e-02	6.977650e-06	1	true	smoothSolver	1.979690e-02	5.017310e-07	1	true	DICPCG	5.490810e-03	2.408240e-04	103	true
0.0014        	smoothSolver	1.673650e-02	4.565590e-07	2	1.961550e-02	8.865190e-07	2	7.108210e-03	2.416170e-07	2	false	smoothSolver	1.859210e-02	6.649360e-06	1	true	smoothSolver	1.830380e-02	4.795140e-07	1	true	DICPCG	4.937000e-03	2.425060e-04	118	true
0.0015        	smoothSolver	1.559770e-02	4.290830e-07	2	1.847260e-02	8.369520e-07	2	6.934050e-03	2.377470e-07	2	false	smoothSolver	1.731870e-02	6.347690e-06	1	true	smoothSolver	1.701940e-02	4.591240e-07	1	true	DICPCG	4.424940e-03	1.883530e-04	101	true
0.0016        	smoothSolver	1.464610e-02	4.048100e-07	2	1.749540e-02	7.943210e-07	2	6.767110e-03	2.349050e-07	2	false	smoothSolver	1.620860e-02	6.069220e-06	1	true	smoothSolver	1.590330e-02	4.403610e-07	1	true	DICPCG	4.328310e-03	1.863750e-04	101	true
0.0017        	smoothSolver	1.380860e-02	3.830830e-07	2	1.656060e-02	7.563740e-07	2	6.611920e-03	2.322220e-07	2	false	smoothSolver	1.523930e-02	5.813910e-06	1	true	smoothSolver	1.492470e-02	4.230450e-07	1	true	DICPCG	3.859530e-03	1.804160e-04	120	true
0.0018        	smoothSolver	1.304830e-02	3.632890e-07	2	1.574230e-02	7.231000e-07	2	6.495680e-03	2.305990e-07	2	false	smoothSolver	1.438700e-02	5.579220e-06	1	true	smoothSolver	1.405970e-02	4.070170e-07	1	true	DICPCG	3.515390e-03	1.475310e-04	101	true
0.0019        	smoothSolver	1.235110e-02	3.450690e-07	2	1.506810e-02	6.931800e-07	2	6.384480e-03	2.277860e-07	2	false	smoothSolver	1.362490e-02	5.359860e-06	1	true	smoothSolver	1.328960e-02	3.921390e-07	1	true	DICPCG	3.581310e-03	1.439820e-04	121	true
0.002         	smoothSolver	1.172500e-02	3.286020e-07	2	1.448050e-02	6.671560e-07	2	6.291950e-03	2.259900e-07	2	false	smoothSolver	1.293860e-02	5.154070e-06	1	true	smoothSolver	1.259970e-02	3.782920e-07	1	true	DICPCG	3.136950e-03	1.409360e-04	102	true
0.0021        	smoothSolver	1.115280e-02	3.135390e-07	2	1.392570e-02	6.415310e-07	2	6.173970e-03	2.229690e-07	2	false	smoothSolver	1.231920e-02	4.961400e-06	1	true	smoothSolver	1.197800e-02	3.653740e-07	1	true	DICPCG	2.620310e-03	1.195380e-04	102	true
0.0022        	smoothSolver	1.062860e-02	2.997390e-07	2	1.340070e-02	6.175350e-07	2	6.050260e-03	2.194570e-07	2	false	smoothSolver	1.176060e-02	4.782020e-06	1	true	smoothSolver	1.141490e-02	3.532960e-07	1	true	DICPCG	2.413090e-03	1.156910e-04	101	true
0.0023        	smoothSolver	1.014810e-02	2.872610e-07	2	1.289860e-02	5.955600e-07	2	5.933270e-03	2.161880e-07	2	false	smoothSolver	1.125460e-02	4.614570e-06	1	true	smoothSolver	1.090260e-02	3.419780e-07	1	true	DICPCG	2.227210e-03	1.071740e-04	103	true
0.0024        	smoothSolver	9.706840e-03	2.760410e-07	2	1.244380e-02	5.759220e-07	2	5.823470e-03	2.131440e-07	2	false	smoothSolver	1.079060e-02	4.456400e-06	1	true	smoothSolver	1.043450e-02	3.313520e-07	1	true	DICPCG	2.101020e-03	9.654420e-05	104	true
