# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	cA_solver     	cA_initial    	cA_final      	cA_iters      	cA_converged  	cB_solver     	cB_initial    	cB_final      	cB_iters      	cB_converged  	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.0105        	smoothSolver	1.054970e-02	1.139250e-06	3	1.114420e-02	1.675840e-06	3	3.353170e-03	8.765460e-06	2	false	smoothSolver	1.224710e-02	9.137220e-06	1	true	smoothSolver	1.203410e-02	9.423040e-06	1	true	DICPCG	1.219150e-03	6.050770e-05	124	true
0.011         	smoothSolver	9.977310e-03	1.086010e-06	3	1.078180e-02	1.622880e-06	3	3.221020e-03	8.460620e-06	2	false	smoothSolver	1.168930e-02	8.818820e-06	1	true	smoothSolver	1.146970e-02	8.826430e-06	1	true	DICPCG	1.165200e-03	5.495760e-05	124	true
0.0115        	smoothSolver	9.461680e-03	1.037600e-06	3	1.044400e-02	1.573100e-06	3	3.098990e-03	8.178450e-06	2	false	smoothSolver	1.117920e-02	8.518440e-06	1	true	smoothSolver	1.095630e-02	8.275220e-06	1	true	DICPCG	1.124770e-03	5.132300e-05	124	true
0.012         	smoothSolver	8.992990e-03	9.934700e-07	3	1.012280e-02	1.525880e-06	3	2.985650e-03	7.915940e-06	2	false	smoothSolver	1.071290e-02	8.235850e-06	1	true	smoothSolver	1.048700e-02	7.764640e-06	1	true	DICPCG	1.097830e-03	4.802000e-05	124	true
0.0125        	smoothSolver	8.560840e-03	9.520890e-07	3	9.820590e-03	1.481520e-06	3	2.882110e-03	7.674770e-06	2	false	smoothSolver	1.028670e-02	7.970600e-06	1	true	smoothSolver	1.005630e-02	7.290600e-06	1	true	DICPCG	1.071300e-03	4.573500e-05	124	true
0.013         	smoothSolver	8.178910e-03	9.136060e-07	3	9.533360e-03	1.439760e-06	3	2.786200e-03	7.452120e-06	2	false	smoothSolver	9.895600e-03	7.720710e-06	1	true	smoothSolver	9.659740e-03	6.849830e-06	1	true	DICPCG	1.049290e-03	4.433260e-05	124	true
0.0135        	smoothSolver	7.829400e-03	8.780110e-07	3	9.260330e-03	1.400360e-06	3	2.696710e-03	7.243080e-06	2	false	smoothSolver	9.534110e-03	7.483630e-06	1	true	smoothSolver	9.293360e-03	6.439350e-06	1	true	DICPCG	1.026300e-03	4.359640e-05	124	true
0.014         	smoothSolver	7.504830e-03	8.448340e-07	3	9.001340e-03	1.363760e-06	3	2.613320e-03	7.046130e-06	2	false	smoothSolver	9.197490e-03	7.257080e-06	1	true	smoothSolver	8.953830e-03	6.056540e-06	1	true	DICPCG	1.010060e-03	4.362130e-05	124	true
0.0145        	smoothSolver	7.202560e-03	8.138650e-07	3	8.761670e-03	1.330460e-06	3	2.535770e-03	6.861220e-06	2	false	smoothSolver	8.883610e-03	7.040570e-06	1	true	smoothSolver	8.638340e-03	5.699130e-06	1	true	DICPCG	9.784780e-04	4.418730e-05	124	true
0.015         	smoothSolver	6.921420e-03	7.849660e-07	3	8.538080e-03	1.299090e-06	3	2.462850e-03	6.686040e-06	2	false	smoothSolver	8.591580e-03	6.834460e-06	1	true	smoothSolver	8.344490e-03	5.365130e-06	1	true	DICPCG	9.536960e-04	4.466130e-05	124	true
0.0155        	smoothSolver	6.660100e-03	7.578590e-07	3	8.332510e-03	1.269130e-06	3	2.394530e-03	6.520300e-06	2	false	smoothSolver	8.319920e-03	6.638450e-06	1	true	smoothSolver	8.070050e-03	5.052640e-06	1	true	DICPCG	9.323130e-04	4.551330e-05	124	true
0.016         	smoothSolver	6.419490e-03	7.324270e-07	3	8.138630e-03	1.240490e-06	3	2.330810e-03	6.364350e-06	2	false	smoothSolver	8.066250e-03	6.451450e-06	1	true	smoothSolver	7.813140e-03	4.760040e-06	1	true	DICPCG	9.144600e-04	4.250860e-05	125	true
0.0165        	smoothSolver	6.194660e-03	7.085190e-07	3	7.953590e-03	1.213130e-06	3	2.271260e-03	6.218000e-06	2	false	smoothSolver	7.828020e-03	6.272080e-06	1	true	smoothSolver	7.572210e-03	4.485890e-06	1	true	DICPCG	9.016480e-04	4.344330e-05	125	true
0.017         	smoothSolver	5.983350e-03	6.861310e-07	3	7.775570e-03	1.186990e-06	3	2.215100e-03	6.080520e-06	2	false	smoothSolver	7.603170e-03	6.099290e-06	1	true	smoothSolver	7.345730e-03	4.228810e-06	1	true	DICPCG	8.850280e-04	4.190540e-05	126	true
0.0175        	smoothSolver	5.784200e-03	6.650390e-07	3	7.604070e-03	1.161900e-06	3	2.161790e-03	5.950110e-06	2	false	smoothSolver	7.391100e-03	5.933110e-06	1	true	smoothSolver	7.132390e-03	3.987540e-06	1	true	DICPCG	8.727880e-04	4.260420e-05	126	true
0.018         	smoothSolver	5.596280e-03	6.450860e-07	3	7.441020e-03	1.137770e-06	3	2.111350e-03	5.825430e-06	2	false	smoothSolver	7.191460e-03	5.773700e-06	1	true	smoothSolver	6.931140e-03	3.761080e-06	1	true	DICPCG	8.514880e-04	3.978910e-05	127	true
0.0185        	smoothSolver	5.418460e-03	6.262900e-07	3	7.285650e-03	1.114520e-06	3	2.063380e-03	5.706970e-06	2	false	smoothSolver	7.003480e-03	5.620830e-06	1	true	smoothSolver	6.741090e-03	3.548500e-06	1	true	DICPCG	8.541170e-04	4.262690e-05	126	true
0.019         	smoothSolver	5.249840e-03	6.084640e-07	3	7.135660e-03	1.091960e-06	3	2.017900e-03	5.593450e-06	2	false	smoothSolver	6.825790e-03	5.473760e-06	1	true	smoothSolver	6.561250e-03	3.348820e-06	1	true	DICPCG	8.451530e-04	3.995280e-05	127	true
0.0195        	smoothSolver	5.089130e-03	5.914730e-07	3	6.990890e-03	1.070190e-06	3	1.974680e-03	5.484530e-06	2	false	smoothSolver	6.657080e-03	5.331720e-06	1	true	smoothSolver	6.390710e-03	3.161110e-06	1	true	DICPCG	8.189760e-04	3.862840e-05	127	true
0.02          	smoothSolver	4.936390e-03	5.752530e-07	3	6.849710e-03	1.049150e-06	3	1.933870e-03	5.380960e-06	2	false	smoothSolver	6.496340e-03	5.194180e-06	1	true	smoothSolver	6.228850e-03	2.984610e-06	1	true	DICPCG	7.989540e-04	3.866870e-05	127	true
0.0205        	smoothSolver	4.791330e-03	5.597980e-07	3	6.712500e-03	1.028770e-06	3	1.895330e-03	5.282800e-06	2	false	smoothSolver	6.343350e-03	5.061190e-06	1	true	smoothSolver	6.075100e-03	2.818630e-06	1	true	DICPCG	7.790780e-04	3.831840e-05	127	true
0.021         	smoothSolver	4.653450e-03	5.450690e-07	3	6.579040e-03	1.009060e-06	3	1.858350e-03	5.189890e-06	2	false	smoothSolver	6.198050e-03	4.932930e-06	1	true	smoothSolver	5.928800e-03	2.662500e-06	1	true	DICPCG	7.625090e-04	3.757440e-05	127	true
0.0215        	smoothSolver	4.522490e-03	5.310360e-07	3	6.449010e-03	9.899210e-07	3	1.822830e-03	5.101030e-06	2	false	smoothSolver	6.060120e-03	4.809300e-06	1	true	smoothSolver	5.789390e-03	2.515540e-06	1	true	DICPCG	7.514880e-04	3.670250e-05	127	true
0.022         	smoothSolver	4.399250e-03	5.176340e-07	3	6.323920e-03	9.714290e-07	3	1.788800e-03	5.015590e-06	2	false	smoothSolver	5.928670e-03	4.689760e-06	1	true	smoothSolver	5.656390e-03	2.377180e-06	1	true	DICPCG	7.466740e-04	3.566340e-05	127	true
0.0225        	smoothSolver	4.282030e-03	5.048240e-07	3	6.203000e-03	9.535890e-07	3	1.756370e-03	4.933090e-06	2	false	smoothSolver	5.802910e-03	4.573830e-06	1	true	smoothSolver	5.529400e-03	2.246910e-06	1	true	DICPCG	7.377140e-04	3.458000e-05	127	true
0.023         	smoothSolver	4.170190e-03	9.957180e-06	2	6.086480e-03	9.364490e-07	3	1.725390e-03	4.853920e-06	2	false	smoothSolver	5.682300e-03	4.461190e-06	1	true	smoothSolver	5.408030e-03	2.124240e-06	1	true	DICPCG	7.552290e-04	3.762420e-05	125	true
0.0235        	smoothSolver	4.063010e-03	9.713260e-06	2	5.974390e-03	9.198440e-07	3	1.695400e-03	4.777290e-06	2	false	smoothSolver	5.566780e-03	4.351930e-06	1	true	smoothSolver	5.291920e-03	2.008730e-06	1	true	DICPCG	7.269910e-04	3.432860e-05	126	true
0.024         	smoothSolver	3.960790e-03	9.480670e-06	2	5.868360e-03	9.039570e-07	3	1.667050e-03	4.704180e-06	2	false	smoothSolver	5.456380e-03	4.246150e-06	1	true	smoothSolver	5.180740e-03	1.899970e-06	1	true	DICPCG	6.984530e-04	3.404320e-05	125	true
