# Time        	cpuTime       	clockTime     	cpu/step      	clock/step    
0.0001        	2.600000e+00	2.000000e+00	2.600000e+00	2.000000e+00
0.0002        	4.470000e+00	4.000000e+00	1.870000e+00	2.000000e+00
0.0003        	6.810000e+00	7.000000e+00	2.340000e+00	3.000000e+00
0.0004        	8.960000e+00	9.000000e+00	2.150000e+00	2.000000e+00
0.0005        	1.111000e+01	1.100000e+01	2.150000e+00	2.000000e+00
0.0006        	1.312000e+01	1.300000e+01	2.010000e+00	2.000000e+00
0.0007        	1.501000e+01	1.500000e+01	1.890000e+00	2.000000e+00
0.0008        	1.685000e+01	1.700000e+01	1.840000e+00	2.000000e+00
0.0009        	1.866000e+01	1.800000e+01	1.810000e+00	1.000000e+00
0.001         	2.048000e+01	2.000000e+01	1.820000e+00	2.000000e+00
0.0011        	2.232000e+01	2.200000e+01	1.840000e+00	2.000000e+00
0.0012        	2.419000e+01	2.400000e+01	1.870000e+00	2.000000e+00
0.0013        	2.608000e+01	2.600000e+01	1.890000e+00	2.000000e+00
0.0014        	2.792000e+01	2.800000e+01	1.840000e+00	2.000000e+00
0.0015        	2.971000e+01	2.900000e+01	1.790000e+00	1.000000e+00
0.0016        	3.148000e+01	3.100000e+01	1.770000e+00	2.000000e+00
0.0017        	3.321000e+01	3.300000e+01	1.730000e+00	2.000000e+00
0.0018        	3.493000e+01	3.500000e+01	1.720000e+00	2.000000e+00
0.0019        	3.665000e+01	3.600000e+01	1.720000e+00	1.000000e+00
0.002         	3.836000e+01	3.800000e+01	1.710000e+00	2.000000e+00
0.0021        	4.007000e+01	4.000000e+01	1.710000e+00	2.000000e+00
0.0022        	4.177000e+01	4.200000e+01	1.700000e+00	2.000000e+00
0.0023        	4.349000e+01	4.300000e+01	1.720000e+00	1.000000e+00
0.0024        	4.527000e+01	4.500000e+01	1.780000e+00	2.000000e+00
0.0025        	4.694000e+01	4.700000e+01	1.670000e+00	2.000000e+00
0.0026        	4.857000e+01	4.800000e+01	1.630000e+00	1.000000e+00
0.0027        	5.034000e+01	5.000000e+01	1.770000e+00	2.000000e+00
0.0028        	5.207000e+01	5.200000e+01	1.730000e+00	2.000000e+00
0.0029        	5.380000e+01	5.400000e+01	1.730000e+00	2.000000e+00
0.003         	5.536000e+01	5.500000e+01	1.560000e+00	1.000000e+00
0.0031        	5.705000e+01	5.700000e+01	1.690000e+00	2.000000e+00
0.0032        	5.878000e+01	5.900000e+01	1.730000e+00	2.000000e+00
0.0033        	6.048000e+01	6.000000e+01	1.700000e+00	1.000000e+00
0.0034        	6.212000e+01	6.200000e+01	1.640000e+00	2.000000e+00
0.0035        	6.369000e+01	6.300000e+01	1.570000e+00	1.000000e+00
0.0036        	6.533000e+01	6.500000e+01	1.640000e+00	2.000000e+00
0.0037        	6.692000e+01	6.700000e+01	1.590000e+00	2.000000e+00
0.0038        	6.850000e+01	6.800000e+01	1.580000e+00	1.000000e+00
0.0039        	7.007000e+01	7.000000e+01	1.570000e+00	2.000000e+00
0.004         	7.165000e+01	7.100000e+01	1.580000e+00	1.000000e+00
0.0041        	7.321000e+01	7.300000e+01	1.560000e+00	2.000000e+00
0.0042        	7.480000e+01	7.500000e+01	1.590000e+00	2.000000e+00
0.0043        	7.636000e+01	7.600000e+01	1.560000e+00	1.000000e+00
0.0044        	7.791000e+01	7.800000e+01	1.550000e+00	2.000000e+00
0.0045        	7.948000e+01	7.900000e+01	1.570000e+00	1.000000e+00
0.0046        	8.106000e+01	8.100000e+01	1.580000e+00	2.000000e+00
0.0047        	8.264000e+01	8.200000e+01	1.580000e+00	1.000000e+00
0.0048        	8.423000e+01	8.400000e+01	1.590000e+00	2.000000e+00
0.0049        	8.585000e+01	8.600000e+01	1.620000e+00	2.000000e+00
0.005         	8.743000e+01	8.700000e+01	1.580000e+00	1.000000e+00
0.0051        	8.899000e+01	8.900000e+01	1.560000e+00	2.000000e+00
0.0052        	9.053000e+01	9.000000e+01	1.540000e+00	1.000000e+00
0.0053        	9.205000e+01	9.200000e+01	1.520000e+00	2.000000e+00
0.0054        	9.358000e+01	9.300000e+01	1.530000e+00	1.000000e+00
0.0055        	9.511000e+01	9.500000e+01	1.530000e+00	2.000000e+00
0.0056        	9.671000e+01	9.600000e+01	1.600000e+00	1.000000e+00
0.0057        	9.831000e+01	9.800000e+01	1.600000e+00	2.000000e+00
0.0058        	9.984000e+01	1.000000e+02	1.530000e+00	2.000000e+00
0.0059        	1.015200e+02	1.010000e+02	1.680000e+00	1.000000e+00
0.006         	1.031400e+02	1.030000e+02	1.620000e+00	2.000000e+00
0.0061        	1.048800e+02	1.050000e+02	1.740000e+00	2.000000e+00
0.0062        	1.065100e+02	1.060000e+02	1.630000e+00	1.000000e+00
0.0063        	1.081100e+02	1.080000e+02	1.600000e+00	2.000000e+00
0.0064        	1.098000e+02	1.100000e+02	1.690000e+00	2.000000e+00
0.0065        	1.114500e+02	1.110000e+02	1.650000e+00	1.000000e+00
0.0066        	1.130900e+02	1.130000e+02	1.640000e+00	2.000000e+00
0.0067        	1.147400e+02	1.150000e+02	1.650000e+00	2.000000e+00
0.0068        	1.163800e+02	1.160000e+02	1.640000e+00	1.000000e+00
0.0069        	1.180300e+02	1.180000e+02	1.650000e+00	2.000000e+00
0.007         	1.197500e+02	1.200000e+02	1.720000e+00	2.000000e+00
0.0071        	1.213300e+02	1.210000e+02	1.580000e+00	1.000000e+00
0.0072        	1.229200e+02	1.230000e+02	1.590000e+00	2.000000e+00
0.0073        	1.246400e+02	1.240000e+02	1.720000e+00	1.000000e+00
0.0074        	1.263600e+02	1.260000e+02	1.720000e+00	2.000000e+00
0.0075        	1.279800e+02	1.280000e+02	1.620000e+00	2.000000e+00
0.0076        	1.296800e+02	1.290000e+02	1.700000e+00	1.000000e+00
0.0077        	1.313400e+02	1.310000e+02	1.660000e+00	2.000000e+00
0.0078        	1.329900e+02	1.330000e+02	1.650000e+00	2.000000e+00
0.0079        	1.346800e+02	1.340000e+02	1.690000e+00	1.000000e+00
0.008         	1.364300e+02	1.360000e+02	1.750000e+00	2.000000e+00
0.0081        	1.380900e+02	1.380000e+02	1.660000e+00	2.000000e+00
0.0082        	1.397400e+02	1.400000e+02	1.650000e+00	2.000000e+00
0.0083        	1.414400e+02	1.410000e+02	1.700000e+00	1.000000e+00
0.0084        	1.431300e+02	1.430000e+02	1.690000e+00	2.000000e+00
0.0085        	1.448000e+02	1.450000e+02	1.670000e+00	2.000000e+00
0.0086        	1.464200e+02	1.460000e+02	1.620000e+00	1.000000e+00
0.0087        	1.480900e+02	1.480000e+02	1.670000e+00	2.000000e+00
0.0088        	1.497800e+02	1.500000e+02	1.690000e+00	2.000000e+00
0.0089        	1.514000e+02	1.510000e+02	1.620000e+00	1.000000e+00
0.009         	1.531000e+02	1.530000e+02	1.700000e+00	2.000000e+00
0.0091        	1.548100e+02	1.550000e+02	1.710000e+00	2.000000e+00
0.0092        	1.565200e+02	1.560000e+02	1.710000e+00	1.000000e+00
0.0093        	1.581200e+02	1.580000e+02	1.600000e+00	2.000000e+00
0.0094        	1.597100e+02	1.590000e+02	1.590000e+00	1.000000e+00
0.0095        	1.612900e+02	1.610000e+02	1.580000e+00	2.000000e+00
0.0096        	1.628900e+02	1.630000e+02	1.600000e+00	2.000000e+00
0.0097        	1.644800e+02	1.640000e+02	1.590000e+00	1.000000e+00
0.0098        	1.661600e+02	1.660000e+02	1.680000e+00	2.000000e+00
0.0099        	1.678100e+02	1.680000e+02	1.650000e+00	2.000000e+00
0.01          	1.703500e+02	1.700000e+02	2.540000e+00	2.000000e+00
0.0101        	1.720400e+02	1.720000e+02	1.690000e+00	2.000000e+00
0.0102        	1.736800e+02	1.730000e+02	1.640000e+00	1.000000e+00
0.0103        	1.753300e+02	1.750000e+02	1.650000e+00	2.000000e+00
0.0104        	1.769700e+02	1.770000e+02	1.640000e+00	2.000000e+00
0.0105        	1.785600e+02	1.780000e+02	1.590000e+00	1.000000e+00
0.0106        	1.802000e+02	1.800000e+02	1.640000e+00	2.000000e+00
0.0107        	1.817900e+02	1.820000e+02	1.590000e+00	2.000000e+00
0.0108        	1.833900e+02	1.830000e+02	1.600000e+00	1.000000e+00
0.0109        	1.850500e+02	1.850000e+02	1.660000e+00	2.000000e+00
0.011         	1.866300e+02	1.860000e+02	1.580000e+00	1.000000e+00
0.0111        	1.882200e+02	1.880000e+02	1.590000e+00	2.000000e+00
0.0112        	1.898000e+02	1.900000e+02	1.580000e+00	2.000000e+00
0.0113        	1.914100e+02	1.910000e+02	1.610000e+00	1.000000e+00
0.0114        	1.929900e+02	1.930000e+02	1.580000e+00	2.000000e+00
0.0115        	1.945700e+02	1.940000e+02	1.580000e+00	1.000000e+00
0.0116        	1.962400e+02	1.960000e+02	1.670000e+00	2.000000e+00
0.0117        	1.978300e+02	1.980000e+02	1.590000e+00	2.000000e+00
0.0118        	1.994000e+02	1.990000e+02	1.570000e+00	1.000000e+00
0.0119        	2.009700e+02	2.010000e+02	1.570000e+00	2.000000e+00
0.012         	2.026100e+02	2.020000e+02	1.640000e+00	1.000000e+00
0.0121        	2.042500e+02	2.040000e+02	1.640000e+00	2.000000e+00
0.0122        	2.058900e+02	2.060000e+02	1.640000e+00	2.000000e+00
0.0123        	2.074800e+02	2.070000e+02	1.590000e+00	1.000000e+00
0.0124        	2.091100e+02	2.090000e+02	1.630000e+00	2.000000e+00
0.0125        	2.107400e+02	2.110000e+02	1.630000e+00	2.000000e+00
0.0126        	2.123700e+02	2.120000e+02	1.630000e+00	1.000000e+00
0.0127        	2.138900e+02	2.140000e+02	1.520000e+00	2.000000e+00
0.0128        	2.154700e+02	2.150000e+02	1.580000e+00	1.000000e+00
0.0129        	2.171100e+02	2.170000e+02	1.640000e+00	2.000000e+00
0.013         	2.189800e+02	2.190000e+02	1.870000e+00	2.000000e+00
0.0131        	2.204700e+02	2.200000e+02	1.490000e+00	1.000000e+00
0.0132        	2.221000e+02	2.220000e+02	1.630000e+00	2.000000e+00
0.0133        	2.237400e+02	2.240000e+02	1.640000e+00	2.000000e+00
0.0134        	2.256100e+02	2.250000e+02	1.870000e+00	1.000000e+00
0.0135        	2.275000e+02	2.270000e+02	1.890000e+00	2.000000e+00
0.0136        	2.290600e+02	2.290000e+02	1.560000e+00	2.000000e+00
0.0137        	2.307000e+02	2.310000e+02	1.640000e+00	2.000000e+00
0.0138        	2.326100e+02	2.320000e+02	1.910000e+00	1.000000e+00
0.0139        	2.342500e+02	2.340000e+02	1.640000e+00	2.000000e+00
0.014         	2.361200e+02	2.360000e+02	1.870000e+00	2.000000e+00
0.0141        	2.377400e+02	2.380000e+02	1.620000e+00	2.000000e+00
0.0142        	2.396000e+02	2.390000e+02	1.860000e+00	1.000000e+00
0.0143        	2.412200e+02	2.410000e+02	1.620000e+00	2.000000e+00
0.0144        	2.428300e+02	2.430000e+02	1.610000e+00	2.000000e+00
0.0145        	2.444600e+02	2.440000e+02	1.630000e+00	1.000000e+00
0.0146        	2.459800e+02	2.460000e+02	1.520000e+00	2.000000e+00
0.0147        	2.475500e+02	2.470000e+02	1.570000e+00	1.000000e+00
0.0148        	2.491100e+02	2.490000e+02	1.560000e+00	2.000000e+00
0.0149        	2.507500e+02	2.510000e+02	1.640000e+00	2.000000e+00
0.015         	2.523700e+02	2.520000e+02	1.620000e+00	1.000000e+00
0.0151        	2.542000e+02	2.540000e+02	1.830000e+00	2.000000e+00
0.0152        	2.558300e+02	2.560000e+02	1.630000e+00	2.000000e+00
0.0153        	2.576700e+02	2.570000e+02	1.840000e+00	1.000000e+00
