# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	cA_solver     	cA_initial    	cA_final      	cA_iters      	cA_converged  	cB_solver     	cB_initial    	cB_final      	cB_iters      	cB_converged  	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.0001        	smoothSolver	1.000000e+00	9.064880e-08	3	0.000000e+00	0.000000e+00	0	1.000000e+00	7.815770e-08	3	false	smoothSolver	1.000000e+00	3.467010e-06	1	true	smoothSolver	1.000000e+00	2.261430e-04	1	true	DICPCG	1.000000e+00	4.496070e-02	141	true
0.0002        	smoothSolver	7.965350e-01	8.929680e-06	2	3.329510e-01	8.475620e-08	3	2.544270e-01	9.346290e-06	2	false	smoothSolver	1.918860e-01	6.264240e-07	1	true	smoothSolver	1.951810e-01	3.700040e-05	1	true	DICPCG	8.081740e-03	3.914210e-04	140	true
0.0003        	smoothSolver	6.436970e-01	7.202060e-06	2	2.018850e-01	7.166730e-06	2	1.122240e-01	4.062870e-06	2	false	smoothSolver	1.061770e-01	5.174650e-07	1	true	smoothSolver	1.081770e-01	2.701710e-05	1	true	DICPCG	5.494360e-03	2.577600e-04	140	true
0.0004        	smoothSolver	1.712530e-02	1.617560e-07	2	1.545360e-02	4.584480e-07	2	4.936150e-03	1.542540e-07	2	false	smoothSolver	7.341360e-02	4.656290e-07	1	true	smoothSolver	7.483870e-02	2.212640e-05	1	true	DICPCG	4.658670e-02	2.272850e-03	36	true
0.0005        	smoothSolver	1.533360e-02	1.442820e-07	2	1.419050e-02	4.024900e-07	2	4.305360e-03	1.292330e-07	2	false	smoothSolver	5.612350e-02	4.282570e-07	1	true	smoothSolver	5.721560e-02	1.899390e-05	1	true	DICPCG	3.091460e-02	1.525710e-03	34	true
0.0006        	smoothSolver	1.392590e-02	1.312650e-07	2	1.344830e-02	3.661120e-07	2	3.902630e-03	1.144730e-07	2	false	smoothSolver	4.544380e-02	3.980990e-07	1	true	smoothSolver	4.631700e-02	1.673510e-05	1	true	DICPCG	2.274730e-02	1.123990e-03	40	true
0.0007        	smoothSolver	1.284520e-02	1.212040e-07	2	1.285770e-02	3.406110e-07	2	3.607670e-03	1.050470e-07	2	false	smoothSolver	3.819500e-02	3.731590e-07	1	true	smoothSolver	3.890920e-02	1.498730e-05	1	true	DICPCG	1.824400e-02	9.008700e-04	40	true
0.0008        	smoothSolver	1.199940e-02	1.134020e-07	2	1.229600e-02	3.202190e-07	2	3.382360e-03	9.901550e-08	2	false	smoothSolver	3.295480e-02	3.518350e-07	1	true	smoothSolver	3.354760e-02	1.357060e-05	1	true	DICPCG	1.646020e-02	8.047090e-04	38	true
0.0009        	smoothSolver	1.127080e-02	1.071630e-07	2	1.174770e-02	3.036620e-07	2	3.210590e-03	9.472160e-08	2	false	smoothSolver	2.899150e-02	3.330020e-07	1	true	smoothSolver	2.948620e-02	1.238310e-05	1	true	DICPCG	1.467740e-02	7.313600e-04	37	true
0.001         	smoothSolver	1.062990e-02	1.018650e-07	2	1.125690e-02	2.909100e-07	2	3.067560e-03	9.123210e-08	2	false	smoothSolver	2.588920e-02	3.163120e-07	1	true	smoothSolver	2.630220e-02	1.136370e-05	1	true	DICPCG	1.403190e-02	6.754190e-04	37	true
