# Continuity error
# Time        # Local       # Global      # Cumulative  
0.0005        1.076718e-07	-1.675879e-09	-1.675879e-09
0.001         2.795250e-08	-1.120014e-09	-2.795893e-09
0.0015        8.161344e-10	1.331310e-10	-2.662762e-09
0.002         6.633240e-10	-1.037669e-10	-2.766529e-09
0.0025        5.766802e-10	-1.109798e-10	-2.877509e-09
0.003         5.142878e-10	-7.661255e-11	-2.954121e-09
0.0035        5.320234e-10	-5.001972e-11	-3.004141e-09
0.004         5.469807e-10	-4.562245e-11	-3.049763e-09
0.0045        4.086981e-10	-3.495401e-11	-3.084717e-09
0.005         4.844760e-10	-2.654761e-11	-3.111265e-09
0.0055        4.977503e-10	-3.018550e-11	-3.141450e-09
0.006         4.898278e-10	-2.546193e-11	-3.166912e-09
0.0065        4.609349e-10	-2.383801e-11	-3.190750e-09
0.007         3.866757e-10	-1.883907e-11	-3.209589e-09
0.0075        4.541315e-10	-2.281986e-11	-3.232409e-09
0.008         3.682689e-10	-1.752085e-11	-3.249930e-09
0.0085        3.733368e-10	-1.526823e-11	-3.265198e-09
0.009         3.725150e-10	-1.080521e-11	-3.276004e-09
0.0095        4.265416e-10	-1.123246e-11	-3.287236e-09
0.01          3.229662e-10	-8.733233e-12	-3.295969e-09
0.0105        3.845603e-10	-1.443696e-11	-3.310406e-09
0.011         4.014989e-10	-9.143381e-12	-3.319550e-09
0.0115        3.334841e-10	-1.025500e-11	-3.329805e-09
0.012         3.947391e-10	-9.035545e-12	-3.338840e-09
0.0125        3.832901e-10	-8.885588e-12	-3.347726e-09
0.013         3.735111e-10	-7.782516e-12	-3.355508e-09
0.0135        3.595029e-10	-6.730961e-12	-3.362239e-09
0.014         3.484953e-10	-5.721368e-12	-3.367961e-09
0.0145        3.245561e-10	-4.154874e-12	-3.372115e-09
0.015         3.130847e-10	-3.260438e-12	-3.375376e-09
0.0155        3.000200e-10	-2.184616e-12	-3.377561e-09
0.016         2.882673e-10	-1.293902e-12	-3.378854e-09
0.0165        2.775822e-10	-3.247032e-13	-3.379179e-09
0.017         3.391852e-10	8.678560e-13	-3.378311e-09
0.0175        3.104112e-10	5.032502e-13	-3.377808e-09
0.018         2.873908e-10	6.666882e-13	-3.377141e-09
0.0185        3.339194e-10	-3.834509e-12	-3.380976e-09
0.019         3.347698e-10	-1.621542e-12	-3.382597e-09
0.0195        2.960508e-10	-1.838980e-13	-3.382781e-09
0.02          3.193992e-10	-2.374268e-12	-3.385156e-09
0.0205        3.211184e-10	-3.863243e-12	-3.389019e-09
